,Sports Team,Colleges & Universities,Digital Creator,Video Game Personality ,Video Game,Movie Genre,Podcast,Sports Event,Music Genre,Video Game Publisher,Product Version,Global TV Show,Music Album,Travel,Sports Series,Radio Station,Award Show,Ongoing News Story,Song,Esports League,Esports Player,Holiday,Sports Personality,Politician,TV Shows,Points of Interest,Basketball Game,Actor,Business,Animals,Video Game Conference,Journalist,Political Race,Food,TV Channels,Entertainment Personality,Book Genre,Sport,Fields of study,Movie,TV Genres,NFL Football Game,Local News,Product,Fictional Character,American Football Game,Technology,Sports League,News,Emergency Events,Coach,Interests and Hobbies,States,Video Game Hardware,Fan Community,Baseball Game,Weather,Hockey Game,Multimedia Franchise,Musician,Concert,Digital Assets & Crypto,Cities,Place,Exercise & fitness,TV Episodes,Athlete,Person,Reoccurring Trends,Political Body,Soccer Match,Brand
levert,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
celebrity,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,3,12,0,0,0,2,0,0,1,0,1,0,2,0,0,0,2,0,0,0,1,6,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,10,0,1,0,13
colored,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
nolanturner02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,3,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4
nasser,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
larryfitzgerald,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
injured,6,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,13,0,0,0,0,0,0,0,0,6,0,0,0,2,1,0,0,2,0,6,6,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,6,8,0,1,0,11
gsw,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3
aboubackar,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
tyre,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
happy,12,0,1,0,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,13,0,0,3,22,0,0,0,0,0,0,3,0,13,0,0,3,2,4,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,15,0,0,1,5
salvaged,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
foreign,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,7,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,8
spiceadams,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
deficit,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
hoop,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,2,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,7
castro,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ayton,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6
emotions,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4
